Species,ThermalAffinity,BodySize,DepthRange,PLD,Diet,Aggregation,Position,ParentalMode,JPN_sp,AUS_sp,RMI_sp
Dascyllus reticulatus,tropical,9,49,22.7,Planktivore,groups,CoralAssociated,Nesters,1,1,1
Dascyllus trimaculatus,tropical,11,54,28,Planktivore,groups,Anemone,Nesters,1,1,1
Dasyatis brevicaudata,temperate,430,476,0,Predator,solitary,Demersal,Live bearers,0,1,0
Decapterus macarellus,subtropical,46,60,50,Planktivore,schools,Pelagic,scatterers,0,0,1
Dendrochirus zebra,tropical,25,77,32.5,Predator,solitary,Benthic,scatterers,1,1,0
Diademichthys lineatus,tropical,5,17,NA,Predator,solitary,EchinodermAssociated,NA,1,0,0
Diagramma labiosum,tropical,90,NA,20,Predator,schools,UpperBenthic,scatterers,0,1,0
Diagramma pictum,tropical,100,49,20,Predator,groups,Benthic,scatterers,1,1,0
Dicotylichthys punctulatus,subtropical,40,50,448,Predator,solitary,UpperBenthic,scatterers,0,1,0
Diodon holocanthus,subtropical,50,198,448,Predator,solitary,UpperBenthic,scatterers,1,1,0
Diodon hystrix,tropical,91,48,448,Predator,solitary,UpperBenthic,scatterers,0,1,0
Diodon liturosus,tropical,65,89,448,Predator,solitary,UpperBenthic,scatterers,1,1,0
Diploprion bifasciatum,tropical,25,99,42,Predator,pairs,UpperBenthic,scatterers,0,1,0
Discotrema crinophilum,tropical,5,19,NA,Omnivore,pairs,EchinodermAssociated,NA,1,0,0
Echeneis naucrates,tropical,110,84,40,Predator,solitary,Pelagic,scatterers,0,1,0
Echidna nebulosa,tropical,100,47,NA,Predator,solitary,Demersal,scatterers,1,0,0
Ecsenius bicolor,tropical,11,24,24,Herbivore,pairs,Benthic,Nesters,0,1,0
Ecsenius lineatus,tropical,9,27,NA,Herbivore,solitary,Demersal,Nesters,1,0,0
Ecsenius namiyei,tropical,11,29,NA,Herbivore,solitary,Demersal,Nesters,1,0,0
Ecsenius opsifrontalis,tropical,5,NA,24,Herbivore,solitary,Demersal,Nesters,0,0,1
Ecsenius yaeyamaensis,tropical,6,15,NA,Herbivore,groups,Demersal,Nesters,1,0,0
Elagatis bipinnulata,tropical,180,150,57.6,Piscivore,schools,Pelagic,scatterers,0,1,0
Enchelycore pardalis,subtropical/tropical,92,52,NA,Piscivore,solitary,Demersal,NA,1,0,0
Enoplosus armatus,temperate,50,90,28,Predator,pairs,UpperBenthic,scatterers,0,1,0
Epibulus insidiator,tropical,54,41,30.4,Predator,solitary,UpperBenthic,scatterers,1,1,1
Epinephelus akaara,tropical,58,54,56,Predator,solitary,Benthic,scatterers,1,0,0
Epinephelus areolatus,tropical,47,194,NA,Predator,solitary,Benthic,scatterers,1,0,0
Epinephelus coioides,subtropical,120,99,41,Predator,solitary,Benthic,scatterers,0,1,0
Epinephelus cyanopodus,tropical,122,148,41,Predator,solitary,Benthic,scatterers,0,1,1
Epinephelus daemelii,subtropical,200,50,25.2,Predator,solitary,Benthic,scatterers,0,1,0
Epinephelus fasciatus,tropical,40,156,30,Predator,solitary,Benthic,scatterers,1,1,0
Epinephelus fuscoguttatus,tropical,120,59,30,Predator,solitary,Benthic,scatterers,0,1,1
Epinephelus hexagonatus,tropical,27.5,30,24.7,Predator,solitary,Benthic,scatterers,1,1,1
Epinephelus maculatus,tropical,60.5,98,24.7,Predator,solitary,Benthic,scatterers,1,0,1
Epinephelus malabaricus,tropical,236,150,25.2,Predator,solitary,Benthic,scatterers,1,1,0
Epinephelus merra,tropical,31,50,29.6,Predator,solitary,Benthic,scatterers,1,1,1
Epinephelus ongus,tropical,40,40,29.6,Predator,solitary,SubBenthic,scatterers,0,1,1
Epinephelus polyphekadion,tropical,90,45,25.2,Predator,solitary,Benthic,scatterers,0,0,1
Epinephelus quoyanus,tropical,40,50,41,Predator,solitary,Benthic,scatterers,0,1,0
Epinephelus sp.,tropical,35,160,24.7,Predator,solitary,Benthic,scatterers,0,0,1
Epinephelus spilotoceps,tropical,35,30,24.7,Predator,solitary,Benthic,scatterers,0,0,1
Epinephelus undulatostriatus,temperate,61,70,41,Predator,solitary,UpperBenthic,scatterers,0,1,0
Eubalichthys mosaicus,temperate,60,140,37,Herbivore,solitary,Benthic,scatterers,0,1,0
Eupetrichthys angustipes,temperate,12,17,22.5,Predator,pairs,Benthic,scatterers,0,1,0
Eviota sebreei,tropical,2.5,40,25,NA,groups,Demersal,NA,0,0,1
Exallias brevis,tropical,14.5,17,24,Corrallivore,solitary,CoralAssociated,Nesters,0,1,1
Fistularia commersonii,tropical,160,132,46,Predator,solitary,UpperBenthic,scatterers,1,1,1
Forcipiger flavissimus,tropical,22,143,50.7,Corrallivore,solitary,Benthic,scatterers,1,1,1
Forcipiger longirostris,tropical,22,197,49,Predator,solitary,Benthic,scatterers,1,0,1
Gerres oyena,tropical,30,20,NA,Omnivore,groups,Benthic,scatterers,1,0,0
Girella elevata,subtropical,62,25,35,Herbivore,schools,UpperBenthic,scatterers,0,1,0
Girella leonina,temperate,46,14,36,Herbivore,schools,UpperBenthic,scatterers,1,0,0
Girella mezina,temperate,45,20,NA,Omnivore,schools,UpperBenthic,scatterers,1,0,0
Girella punctata,temperate,50,20,36,Omnivore,schools,UpperBenthic,scatterers,1,0,0
Girella tricuspidata,temperate,70,20,35,Herbivore,schools,UpperBenthic,scatterers,0,1,0
Glaucosoma scapulare,tropical,70,90,46,Piscivore,schools,UpperBenthic,scatterers,0,1,0
Gnathanodon speciosus,tropical,120,80,57.6,Predator,solitary,Pelagic,scatterers,0,1,0
Gnathodentex aureolineatus,tropical,30,27,40,Predator,groups,UpperBenthic,scatterers,1,1,1
Gobiodon okinawae,tropical,3.5,13,36,Predator,groups,CoralAssociated,NA,0,0,1
Gomphosus varius,tropical,30,34,56.6,Predator,solitary,UpperBenthic,scatterers,1,1,1
Gracila albomarginata,tropical,40,114,NA,Predator,solitary,Benthic,scatterers,0,0,1
Grammistes sexlineatus,tropical,30,129,42,Predator,solitary,UpperBenthic,scatterers,1,1,0
Gymnocranius microdon,tropical,45,35,40,Predator,solitary,SandAssociated,NA,0,0,1
Gymnothorax eurostus,subtropical,60,73,80,Predator,solitary,Demersal,scatterers,1,1,0
Gymnothorax flavimarginatus,tropical,240,149,80,Predator,solitary,Demersal,NA,0,0,1
Gymnothorax isingteena,tropical,180,27,80,Predator,solitary,Demersal,scatterers,1,0,0
Gymnothorax kidako,tropical,91.5,348,80,Predator,solitary,Demersal,scatterers,1,0,0
Gymnothorax prasinus,temperate,92,NA,80,Predator,solitary,Demersal,NA,0,1,0
Gymnothorax thyrsoideus,tropical,66,15,80,Predator,solitary,Demersal,scatterers,0,1,0
Halichoeres biocellatus,tropical,12,29,24,Predator,solitary,UpperBenthic,scatterers,1,1,1
Halichoeres bleekeri,temperate,12.2,NA,24,Predator,solitary,Benthic,scatterers,1,0,0
Halichoeres chrysus,tropical,12,68,26,Predator,groups,UpperBenthic,scatterers,0,1,1
Halichoeres hortulanus,tropical,27,29,32.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Halichoeres margaritaceus,tropical,12.5,5,22,Predator,solitary,UpperBenthic,scatterers,1,1,0
Halichoeres marginatus,tropical,18,30,22.2,Predator,solitary,Benthic,scatterers,1,1,1
Halichoeres melanochir,tropical,18,20,21.1,Predator,solitary,NA,scatterers,1,0,0
Halichoeres melanurus,tropical,12,14,24.53,Predator,solitary,UpperBenthic,scatterers,0,1,1
Halichoeres miniatus,tropical,14,9,23,Predator,groups,UpperBenthic,scatterers,0,0,1
Halichoeres nebulosus,subtropical,12,39,23.9,Predator,groups,UpperBenthic,scatterers,1,1,0
Halichoeres nigrescens,subtropical,14,7,25,Predator,solitary,UpperBenthic,scatterers,1,1,0
Halichoeres prosopeion,tropical,13,38,21.5,Predator,solitary,UpperBenthic,scatterers,0,1,0
Halichoeres richmondi,tropical,19,14,20.8,Predator,groups,UpperBenthic,scatterers,0,0,1
Halichoeres scapularis,tropical,20,19,24.4,Predator,solitary,Benthic,scatterers,0,0,1
Halichoeres sp.,tropical,16,60,23,Predator,solitary,UpperBenthic,scatterers,0,1,0
Halichoeres trimaculatus,tropical,27,28,26.8,Predator,groups,SandAssociated,NA,0,0,1
Hemigymnus fasciatus,tropical,80,24,26.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Hemigymnus melapterus,tropical,90,29,24.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Hemitaurichthys polylepis,tropical,18,57,49,Planktivore,schools,UpperBenthic,scatterers,0,0,1
Heniochus acuminatus,tropical,25,73,40.83,Planktivore,schools,Benthic,scatterers,0,1,0
Heniochus chrysostomus,tropical,18,38,32.7,Corrallivore,pairs,Benthic,scatterers,1,1,1
Heniochus diphreutes,subtropical/tropical,21,205,32,Planktivore,schools,Benthic,scatterers,0,1,0
Heniochus monoceros,tropical,24,28,44,Predator,pairs,SubBenthic,scatterers,1,0,1
Heniochus singularius,tropical,30,248,44,Corrallivore,solitary,SubBenthic,scatterers,0,1,1
Heniochus varius,tropical,19,28,44,Corrallivore,solitary,SubBenthic,scatterers,1,0,1
Heteroconger hassi,tropical,40,45,160.333333333333,Planktivore,schools,Demersal,NA,0,0,1
Heterodontus portusjacksoni,subtropical,165,275,0,Predator,solitary,Demersal,Live bearers,0,1,0
Hipposcarus longiceps,tropical,60,38,29,Herbivore,groups,UpperBenthic,scatterers,1,0,1
Hologymnosus annulatus,tropical,40,32,25,Predator,solitary,UpperBenthic,scatterers,1,1,0
Hologymnosus doliatus,tropical,50,34,25,Predator,solitary,UpperBenthic,scatterers,1,1,0
Hologymnosus sp.,tropical,45,39,25,Predator,solitary,UpperBenthic,scatterers,0,1,0
Hoplolatilus cuniculus,tropical,16,90,NA,Planktivore,pairs,Demersal,scatterers,1,0,0
Hypnos monopterugius,temperate,70,235,0,Predator,solitary,Demersal,Live bearers,0,1,0
Hypoplectrodes maccullochi,subtropical,45,40,19.1,Predator,solitary,Benthic,scatterers,0,1,0
Istigobius diadema,tropical,10,6,25,Omnivore,solitary,Demersal,Nesters,1,0,0
Koumansetta rainfordi,tropical,8.5,28,40.3,Herbivore,solitary,Demersal,Nesters,0,0,1
Kyphosus bigibbus,tropical,75,43,60,Herbivore,schools,UpperBenthic,scatterers,0,0,1
Kyphosus cinerascens,tropical,50,44,60,Herbivore,schools,UpperBenthic,scatterers,1,0,1
Kyphosus sp.,NA,60,44,60,Herbivore,schools,UpperBenthic,scatterers,1,0,0
Kyphosus sydneyanus,temperate,80,19,60,Herbivore,schools,ReefPelagic,scatterers,0,1,0
Kyphosus vaigiensis,tropical,70,40,60,Herbivore,schools,UpperBenthic,scatterers,1,0,1
Labracinus cyclophthalmus,tropical,23.5,18,NA,Predator,groups,Benthic,NA,1,0,0
Labrichthys unilineatus,tropical,17.5,20,20.5,Corrallivore,solitary,UpperBenthic,scatterers,1,1,1
Labroides bicolor,tropical,15,38,24.5,Omnivore,solitary,UpperBenthic,scatterers,1,1,1
Labroides dimidiatus,tropical,14,39,23.16,Predator,solitary,UpperBenthic,scatterers,1,1,1
Labroides pectoralis,tropical,11,28,26.8,Predator,pairs,UpperBenthic,scatterers,0,0,1
Labropsis alleni,tropical,10,48,23.16,Corrallivore,solitary,UpperBenthic,scatterers,0,0,1
Labropsis australis,tropical,10.5,53,22,Corrallivore,groups,UpperBenthic,scatterers,0,1,0
Labropsis manabei,tropical,10,25,22,Corrallivore,groups,UpperBenthic,scatterers,1,0,0
Labropsis micronesica,tropical,12,26,22,Corrallivore,solitary,UpperBenthic,scatterers,0,0,1
Labropsis xanthonota,tropical,13,48,30.5,Corrallivore,solitary,UpperBenthic,scatterers,1,0,1
Lactoria diaphana,subtropical,34,42,40,Predator,groups,Benthic,scatterers,1,0,0
Lactoria fornasini,tropical,23,127,40,Omnivore,groups,Benthic,scatterers,1,0,0
Lateolabrax japonicus,subtropical,102,15,48,Predator,NA,UpperBenthic,scatterers,1,0,0
Latropiscis purpurissatus,subtropical,60,95,50,Predator,solitary,Benthic,scatterers,0,1,0
Lepidozygus tapeinosoma,tropical,10,29,23,Planktivore,groups,CoralAssociated,Nesters,0,0,1
Leptojulis cyanopleura,tropical,13,71,42.4,Omnivore,solitary,UpperBenthic,scatterers,0,1,0
Lethrinus erythracanthus,tropical,70,105,26.6,Predator,solitary,UpperBenthic,scatterers,0,0,1
Lethrinus erythropterus,tropical,50,23,32.7,Predator,solitary,UpperBenthic,scatterers,0,0,1
Lethrinus harak,tropical,50,20,28,Predator,solitary,UpperBenthic,scatterers,0,0,1
Lethrinus microdon,tropical,80,70,31,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lethrinus miniatus,tropical,90,25,26.6,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lethrinus nebulosus,tropical,87,65,32.7,Predator,solitary,UpperBenthic,scatterers,1,1,0
Lethrinus obsoletus,tropical,60,30,25.7,Predator,solitary,UpperBenthic,scatterers,1,1,1
Lethrinus olivaceus,tropical,100,184,30,Predator,solitary,UpperBenthic,scatterers,0,0,1
Lethrinus sp.,tropical,60,100,26.6,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lethrinus xanthochilus,tropical,70,145,26.7,Predator,solitary,UpperBenthic,scatterers,1,0,1
Lotilia graciliosa,tropical,4.5,35,NA,Predator,solitary,Demersal,NA,0,0,1
Lutjanus adetii,subtropical,50,20,40,Predator,schools,UpperBenthic,scatterers,0,1,0
Lutjanus argentimaculatus,subtropical/tropical,150,119,35,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lutjanus bohar,tropical,90,176,35,Predator,groups,UpperBenthic,scatterers,1,1,1
Lutjanus carponotatus,tropical,40,79,35,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lutjanus decussatus,tropical,35,33,NA,Predator,schools,NA,scatterers,1,0,0
Lutjanus ehrenbergii,tropical,35,15,23.26,Predator,schools,UpperBenthic,scatterers,0,0,1
Lutjanus fulviflamma,tropical,35,32,23.26,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lutjanus fulvus,tropical,40,74,27.7,Predator,solitary,UpperBenthic,scatterers,1,0,1
Lutjanus gibbus,tropical,50,149,54,Predator,schools,UpperBenthic,scatterers,1,1,1
Lutjanus johnii,tropical,97,75,40,Predator,schools,UpperBenthic,scatterers,1,1,0
Lutjanus kasmira,tropical,40,262,31,Predator,schools,UpperBenthic,scatterers,1,1,1
Lutjanus monostigma,tropical,60,59,35,Predator,solitary,UpperBenthic,scatterers,1,0,1
Lutjanus russellii,tropical,50,77,31,Predator,solitary,UpperBenthic,scatterers,0,1,0
Lutjanus semicinctus,tropical,35,26,35,Predator,solitary,UpperBenthic,scatterers,0,0,1
Lutjanus vitta,tropical,40,62,31.3,Predator,solitary,UpperBenthic,scatterers,0,1,0
Macolor macularis,tropical,60,87,NA,Predator,groups,UpperBenthic,scatterers,0,0,1
Macolor niger,tropical,75,88,NA,Predator,groups,UpperBenthic,scatterers,0,0,1
Macropharyngodon choati,subtropical,7.6,30,32.2,Predator,solitary,UpperBenthic,scatterers,0,1,0
Macropharyngodon kuiteri,tropical,10,50,32.2,Predator,solitary,UpperBenthic,scatterers,0,1,0
Macropharyngodon meleagris,tropical,15,30,28,Predator,groups,UpperBenthic,scatterers,1,1,1
Macropharyngodon negrosensis,tropical,12,24,25,Predator,solitary,UpperBenthic,scatterers,1,1,1
Macropharyngodon ornatus,tropical,13,28,26.5,Predator,solitary,UpperBenthic,scatterers,0,1,1
Macropharyngodon sp.,NA,13,28,26.5,Predator,NA,NA,NA,1,0,0
Malacanthus brevirostris,tropical,32,45,34,Predator,pairs,Demersal,scatterers,0,1,1
Malacanthus latovittatus,tropical,45,60,34,Predator,solitary,Demersal,scatterers,0,0,1
Manta birostris,tropical,910,120,0,Planktivore,solitary,Pelagic,Live bearers,0,1,0
Mecaenichthys immaculatus,subtropical,12,15,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Meiacanthus atrodorsalis,tropical,11,29,21,Predator,solitary,Benthic,Nesters,1,0,0
Meiacanthus kamoharai,temperate,6,NA,NA,Predator,NA,NA,Nesters,1,0,0
Meiacanthus lineatus,subtropical,9.5,NA,24,Predator,solitary,UpperBenthic,Nesters,0,1,0
Melichthys niger,tropical,50,20,51.3,Herbivore,groups,UpperBenthic,NA,0,0,1
Melichthys vidua,tropical,40,56,51.3,Herbivore,solitary,UpperBenthic,Nesters,1,1,1
Meuschenia trachylepis,subtropical,40,30,37,Herbivore,pairs,Benthic,scatterers,0,1,0
Microcanthus strigatus,tropical,16,139,35,Omnivore,groups,UpperBenthic,scatterers,0,1,0
Monodactylus argenteus,tropical,27,50,46,Herbivore,schools,ReefPelagic,scatterers,0,1,0
Monotaxis grandoculis,tropical,60,99,33.3,Predator,groups,UpperBenthic,scatterers,1,1,1
Monotaxis heterodon,tropical,60,99,33.3,Predator,groups,UpperBenthic,scatterers,0,0,1
Mulloidichthys flavolineatus,tropical,43,75,60.1,Predator,schools,UpperBenthic,scatterers,1,1,1
Mulloidichthys vanicolensis,tropical,38,112,36.3,Predator,schools,UpperBenthic,scatterers,1,1,1
Myripristis adusta,tropical,35,24,53.8,Planktivore,solitary,SubBenthic,scatterers,0,0,1
Myripristis berndti,tropical,30,156,67,Planktivore,solitary,SubBenthic,scatterers,1,1,1
Myripristis hexagona,tropical,30,37,67,Planktivore,groups,NA,scatterers,1,0,0
Myripristis kuntee,tropical,26,56,53.8,Planktivore,solitary,CoralAssociated,scatterers,1,1,1
Myripristis murdjan,tropical,60,49,67,Planktivore,solitary,Benthic,scatterers,1,1,1
Myripristis sp.,tropical,25,49,67,Planktivore,schools,Benthic,scatterers,0,0,1
Myripristis violacea,tropical,35,27,67,Planktivore,NA,SubBenthic,scatterers,0,0,1
Myripristis vittata,tropical,25,77,67,Planktivore,schools,SubBenthic,scatterers,1,0,0
Naso annulatus,tropical,100,59,62.3,Planktivore,schools,ReefPelagic,scatterers,0,0,1
Naso brachycentron,tropical,90,22,62.3,Omnivore,groups,ReefPelagic,scatterers,0,1,0
Naso brevirostris,tropical,60,120,79.65,Herbivore,schools,ReefPelagic,scatterers,0,1,1
Naso caesius,tropical,45.6,35,91.2,Planktivore,solitary,ReefPelagic,NA,0,0,1
Naso hexacanthus,tropical,75,144,91.2,Planktivore,schools,ReefPelagic,scatterers,1,1,0
Naso lituratus,tropical,46,90,69.4,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Naso sp.,tropical,60,38,77.3,Planktivore,schools,UpperBenthic,scatterers,0,1,1
Naso tuberosus,tropical,60,NA,62.3,Herbivore,groups,ReefPelagic,scatterers,0,1,0
Naso unicornis,tropical,70,179,73.9,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Naso vlamingii,tropical,60,49,77.3,Planktivore,schools,UpperBenthic,scatterers,1,0,1
Nebrius ferrugineus,tropical,320,69,0,Apex,solitary,Demersal,Live bearers,0,0,1
Nemateleotris magnifica,tropical,9,64,22.5,Planktivore,pairs,Benthic,scatterers,1,0,1
Neoditrema ransonnetii,subtropical,13,NA,NA,Planktivore,schools,NA,Live bearers,1,0,0
Neoglyphidodon melas,tropical,18,11,14.5,Corrallivore,solitary,CoralAssociated,Nesters,1,1,0
Neoglyphidodon nigroris,tropical,13,21,17.5,Omnivore,solitary,Benthic,Nesters,1,1,0
Neoglyphidodon polyacanthus,subtropical,12,28,17.5,Planktivore,solitary,Benthic,Nesters,0,1,0
Neoniphon argenteus,tropical,24,17,41,Predator,groups,CoralAssociated,scatterers,1,0,1
Neoniphon opercularis,tropical,35,22,41,Predator,solitary,CoralAssociated,scatterers,0,0,1
Neoniphon sammara,tropical,32,46,49,Predator,schools,CoralAssociated,scatterers,1,0,1
Neopomacentrus azysron,tropical,7.5,11,18,Planktivore,groups,UpperBenthic,Nesters,0,1,0
Neopomacentrus bankieri,tropical,8,9,21,Planktivore,groups,UpperBenthic,Nesters,0,1,0
Neopomacentrus cyanomos,tropical,8,25,17.5,Planktivore,groups,UpperBenthic,Nesters,0,1,0
Neotrygon kuhlii,tropical,70,170,0,Predator,solitary,Demersal,Live bearers,0,1,0
Notolabrus gymnogenis,temperate,23,35,22.5,Predator,solitary,Benthic,scatterers,0,1,0
Novaculichthys taeniourus,tropical,30,22,48,Predator,pairs,Benthic,scatterers,1,1,1
Ogilbyina novaehollandiae,tropical,10,10,61,Predator,solitary,Demersal,Nesters,0,1,0
Ogilbyina queenslandiae,tropical,15,10,61,Predator,solitary,Demersal,Nesters,0,1,0
Olisthops cyanomelas,subtropical,35,14,20,Herbivore,solitary,Benthic,scatterers,0,1,0
Ophthalmolepis lineolata,subtropical,40,58,46.2,Predator,groups,UpperBenthic,scatterers,0,1,0
Oplegnathus fasciatus,subtropical,80,134,40,Predator,solitary,Benthic,scatterers,1,0,0
Oplegnathus punctatus,subtropical,86,132,40,Predator,solitary,Benthic,scatterers,1,0,0
Orectolobus maculatus,temperate,320,110,0,Apex,solitary,Demersal,Live bearers,0,1,0
Orectolobus ornatus,tropical,290,100,0,Apex,solitary,Demersal,Live bearers,0,1,0
Orectolobus sp.,tropical,290,100,0,Apex,solitary,Demersal,Live bearers,0,1,0
Ostorhinchus angustatus,tropical,11,59,19.7,Predator,solitary,Benthic,brooders,0,1,0
Ostorhinchus aureus,tropical,14.5,39,24.5,Predator,groups,Benthic,brooders,1,1,0
Ostorhinchus doederleini,subtropical,14,10,22.6,Predator,solitary,Benthic,brooders,1,0,0
Ostorhinchus endekataenia,tropical,14,20,21.1,Predator,groups,Benthic,brooders,1,0,0
Ostorhinchus fasciatus,tropical,10.3,126,18,Predator,groups,Benthic,brooders,0,1,0
Ostorhinchus lateralis,tropical,8,3,21.1,Predator,solitary,Benthic,brooders,0,0,1
Ostorhinchus luteus,tropical,4.4,48,21.1,Predator,groups,Benthic,brooders,1,0,1
Ostorhinchus notatus,tropical,10,20,NA,Predator,groups,Benthic,brooders,1,0,0
Ostorhinchus properuptus,subtropical,6,29,19.2,Planktivore,schools,Benthic,brooders,1,1,0
Ostorhinchus semilineatus,subtropical,12,100,NA,Predator,groups,Benthic,brooders,1,0,0
Ostorhinchus thermalis,tropical,8.5,20,22.6,Predator,groups,CoralAssociated,brooders,0,0,1
Ostracion cubicus,tropical,45,279,44.3,Predator,pairs,Benthic,scatterers,0,1,1
Ostracion immaculatus,temperate,25,NA,NA,Predator,pairs,Benthic,NA,1,0,0
Ostracion meleagris,tropical,25,29,61.5,Omnivore,solitary,Benthic,scatterers,1,1,1
Oxycheilinus arenatus,tropical,21,35,26.1,Predator,solitary,Benthic,scatterers,0,1,0
Oxycheilinus bimaculatus,tropical,15,108,50.5,Predator,solitary,Benthic,scatterers,1,1,1
Oxycheilinus digramma,tropical,40,57,26.1,Predator,solitary,UpperBenthic,scatterers,0,1,1
Oxycheilinus mentalis,tropical,20,19,26.1,Predator,solitary,Benthic,scatterers,1,0,0
Oxycheilinus orientalis,tropical,20,70,36.2,Predator,solitary,CoralAssociated,scatterers,0,0,1
Oxycheilinus unifasciatus,tropical,46,159,36.2,Predator,solitary,UpperBenthic,scatterers,1,0,1
Oxymonacanthus longirostris,tropical,12,34,20,Predator,pairs,CoralAssociated,scatterers,1,1,1
Pagrus auratus,subtropical,130,200,25,Predator,groups,ReefPelagic,scatterers,0,1,0
Paracaesio xanthura,tropical,50,145,30,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Paracanthurus hepatus,tropical,31,38,37,Planktivore,groups,UpperBenthic,scatterers,0,1,0
Parachaetodon ocellatus,tropical,18,35,23.5,Predator,solitary,SubBenthic,scatterers,0,1,0
Paracirrhites arcatus,tropical,20,90,49.7,Predator,solitary,CoralAssociated,scatterers,1,1,1
Paracirrhites forsteri,tropical,22,34,49.7,Predator,solitary,CoralAssociated,scatterers,1,1,1
Paracirrhites hemistictus,tropical,29,19,49.7,Predator,solitary,CoralAssociated,scatterers,0,0,1
Parajulis poecilepterus,temperate,34,15,35,Predator,NA,UpperBenthic,Nesters,1,0,0
Paraluteres prionurus,tropical,11,24,28,Omnivore,pairs,Benthic,scatterers,1,1,0
Parapercis clathrata,tropical,24,47,41.6,Predator,pairs,Benthic,scatterers,1,1,1
Parapercis cylindrica,tropical,23,19,41.6,Omnivore,solitary,Benthic,scatterers,0,1,0
Parapercis millepunctata,tropical,18,47,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis multiplicata,tropical,15,36,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis pulchella,tropical,20,49,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis ramsayi,subtropical,20,75,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis snyderi,subtropical,11,30,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis stricticeps,subtropical,18,20,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis tetracantha,tropical,26,13,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Paraplesiops poweri,subtropical,8.3,10,61,Predator,solitary,Benthic,Nesters,0,1,0
Parapriacanthus ransonneti,tropical,10,550,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Parapristipoma trilineatum,subtropical,40,40,40,Planktivore,schools,UpperBenthic,scatterers,1,0,0
Parma microlepis,temperate,14,28,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma oligolepis,tropical,16.5,18,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma polylepis,temperate,21,39,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma unifasciata,temperate,18,29,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parupeneus barberinoides,tropical,30,99,42.3,Predator,solitary,Benthic,scatterers,0,0,1
Parupeneus barberinus,tropical,60,99,38.6,Predator,solitary,Benthic,scatterers,1,0,1
Parupeneus biaculeatus,subtropical,24,9,50,Predator,groups,Benthic,scatterers,1,0,0
Parupeneus ciliatus,tropical,38,89,50,Predator,solitary,Benthic,scatterers,1,1,0
Parupeneus crassilabris,tropical,38,79,38.6,NA,solitary,Benthic,scatterers,1,0,0
Parupeneus cyclostomus,tropical,50,123,38.6,Predator,pairs,Benthic,scatterers,1,1,1
Parupeneus indicus,tropical,45,20,33,Predator,pairs,Benthic,NA,1,0,0
Parupeneus insularis,tropical,30,79,38.6,Predator,solitary,Benthic,scatterers,0,0,1
Parupeneus multifasciatus,tropical,35,158,45,Predator,solitary,Benthic,scatterers,1,1,1
Parupeneus pleurostigma,tropical,33,119,50,Predator,solitary,Benthic,scatterers,0,1,1
Parupeneus spilurus,subtropical,50,50,50,Predator,groups,UpperBenthic,scatterers,1,1,0
Pempheris adusta,subtropical,17,20,32.8,Planktivore,schools,SubBenthic,scatterers,1,0,0
Pempheris affinis,temperate,15,23,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Pempheris compressa,temperate,20,23,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Pempheris schwenkii,tropical,15,35,32.8,Planktivore,schools,Benthic,scatterers,1,0,0
Pempheris ypsilychnus,tropical,12,23,32.8,Planktivore,schools,Benthic,scatterers,0,1,0
Pentapodus emeryii,tropical,35,22,19,Predator,solitary,UpperBenthic,scatterers,0,1,1
Pentapodus paradiseus,tropical,30,60,19,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pervagor alternans,tropical,16,15,28,Omnivore,pairs,Benthic,scatterers,0,1,1
Pervagor janthinosoma,tropical,13,12,28,Omnivore,pairs,Benthic,scatterers,1,1,0
Pervagor melanocephalus,tropical,16,20,28,Omnivore,pairs,Benthic,scatterers,1,0,0
Petroscirtes breviceps,tropical,11,14,24,Omnivore,solitary,Demersal,demersal,1,0,0
Petroscirtes fallax,subtropical,9.5,NA,21,Detritivore,solitary,Demersal,Nesters,0,1,0
